building_count,total_risk,grid_id,grid_bounds,avg_risk
60.0,17.5677485764,169,"[[42.274732845900004, -83.145603000000023], [42.274732845900004, -83.138015000000024], [42.281221444200007, -83.138015000000024], [42.281221444200007, -83.145603000000023]]",0.292795809607
1.0,0.0846857428551,171,"[[42.274732845900004, -83.130427000000026], [42.274732845900004, -83.122839000000027], [42.281221444200007, -83.122839000000027], [42.281221444200007, -83.130427000000026]]",0.0846857428551
1.0,0.0865404903889,214,"[[42.281221444200007, -83.183543000000014], [42.281221444200007, -83.175955000000016], [42.287710042500009, -83.175955000000016], [42.287710042500009, -83.183543000000014]]",0.0865404903889
1.0,0.0865404903889,215,"[[42.281221444200007, -83.175955000000016], [42.281221444200007, -83.168367000000018], [42.287710042500009, -83.168367000000018], [42.287710042500009, -83.175955000000016]]",0.0865404903889
39.0,11.9607822001,216,"[[42.281221444200007, -83.168367000000018], [42.281221444200007, -83.160779000000019], [42.287710042500009, -83.160779000000019], [42.287710042500009, -83.168367000000018]]",0.306686723079
3.0,1.16089913249,217,"[[42.281221444200007, -83.160779000000019], [42.281221444200007, -83.153191000000021], [42.287710042500009, -83.153191000000021], [42.287710042500009, -83.160779000000019]]",0.386966377496
19.0,5.97594332695,218,"[[42.281221444200007, -83.153191000000021], [42.281221444200007, -83.145603000000023], [42.287710042500009, -83.145603000000023], [42.287710042500009, -83.153191000000021]]",0.314523332997
4.0,0.822096586226,219,"[[42.281221444200007, -83.145603000000023], [42.281221444200007, -83.138015000000024], [42.287710042500009, -83.138015000000024], [42.287710042500009, -83.145603000000023]]",0.205524146557
2.0,0.478068500757,220,"[[42.281221444200007, -83.138015000000024], [42.281221444200007, -83.130427000000026], [42.287710042500009, -83.130427000000026], [42.287710042500009, -83.138015000000024]]",0.239034250378
1.0,0.100513905287,221,"[[42.281221444200007, -83.130427000000026], [42.281221444200007, -83.122839000000027], [42.287710042500009, -83.122839000000027], [42.287710042500009, -83.130427000000026]]",0.100513905287
1.0,0.0846857428551,252,"[[42.287710042500009, -83.274598999999995], [42.287710042500009, -83.267010999999997], [42.294198640800012, -83.267010999999997], [42.294198640800012, -83.274598999999995]]",0.0846857428551
16.0,5.02747392654,266,"[[42.287710042500009, -83.168367000000018], [42.287710042500009, -83.160779000000019], [42.294198640800012, -83.160779000000019], [42.294198640800012, -83.168367000000018]]",0.314217120409
14.0,3.35576698184,267,"[[42.287710042500009, -83.160779000000019], [42.287710042500009, -83.153191000000021], [42.294198640800012, -83.153191000000021], [42.294198640800012, -83.160779000000019]]",0.23969764156
38.0,12.7318731844,268,"[[42.287710042500009, -83.153191000000021], [42.287710042500009, -83.145603000000023], [42.294198640800012, -83.145603000000023], [42.294198640800012, -83.153191000000021]]",0.335049294327
28.0,7.08678889274,269,"[[42.287710042500009, -83.145603000000023], [42.287710042500009, -83.138015000000024], [42.294198640800012, -83.138015000000024], [42.294198640800012, -83.145603000000023]]",0.253099603312
38.0,9.56720241904,270,"[[42.287710042500009, -83.138015000000024], [42.287710042500009, -83.130427000000026], [42.294198640800012, -83.130427000000026], [42.294198640800012, -83.138015000000024]]",0.251768484712
67.0,18.3996382952,271,"[[42.287710042500009, -83.130427000000026], [42.287710042500009, -83.122839000000027], [42.294198640800012, -83.122839000000027], [42.294198640800012, -83.130427000000026]]",0.274621467092
61.0,16.5180579722,272,"[[42.287710042500009, -83.122839000000027], [42.287710042500009, -83.115251000000029], [42.294198640800012, -83.115251000000029], [42.294198640800012, -83.122839000000027]]",0.27078783561
21.0,4.33492237329,273,"[[42.287710042500009, -83.115251000000029], [42.287710042500009, -83.107663000000031], [42.294198640800012, -83.107663000000031], [42.294198640800012, -83.115251000000029]]",0.206424874919
1.0,0.0846857428551,274,"[[42.287710042500009, -83.107663000000031], [42.287710042500009, -83.100075000000032], [42.294198640800012, -83.100075000000032], [42.294198640800012, -83.107663000000031]]",0.0846857428551
1.0,0.0846857428551,300,"[[42.294198640800012, -83.289774999999992], [42.294198640800012, -83.282186999999993], [42.300687239100014, -83.282186999999993], [42.300687239100014, -83.289774999999992]]",0.0846857428551
1.0,0.0846857428551,311,"[[42.294198640800012, -83.20630700000001], [42.294198640800012, -83.198719000000011], [42.300687239100014, -83.198719000000011], [42.300687239100014, -83.20630700000001]]",0.0846857428551
5.0,2.40068548918,312,"[[42.294198640800012, -83.198719000000011], [42.294198640800012, -83.191131000000013], [42.300687239100014, -83.191131000000013], [42.300687239100014, -83.198719000000011]]",0.480137097835
